Буклеты:,,
КВАРТИРЫ С РЕМОНТОМ,https://drive.google.com/file/d/1Bpn7YCHAM6Yv8EEPr3zoyIxfpqo1jozs/view,
Левобережье,"5 литер https://disk.yandex.ru/i/z1Z8oKtVWZEuAQ
4 литер https://disk.yandex.ru/i/mHGOaSv5O5lOow
2 литер https://disk.yandex.ru/i/n7atvVUHlOxpHw",
Smartpolet,"3 кластер https://disk.yandex.ru/i/nKhgr6CU4uXVDw
1 кластер https://disk.yandex.ru/i/0rOxJhosC24lkw",
Сияние,24/1 литер https://disk.yandex.ru/i/LqDlJ3HcLEOIgg,
,15 кластер https://drive.google.com/file/d/165mPUp6GMRXaxVp2eDrzXuG4xGB_RwfE/view,
Движение61,"69 кластер https://disk.yandex.ru/i/ISLH_72gJZewEQ
78 кластер https://drive.google.com/file/d/16W3YJbydNXbmV3O7JdlOzZw22dvEJgKN/view",
Эстет,"49 кластер https://drive.google.com/file/d/1qhicmvcPaSMmFTVB5zq5tVIW_y5cB15H/view
48 кластер https://drive.google.com/file/d/1_XENCwjwht6nEn7rnkRLAq8igUX5dDuO/view
47 кластер https://disk.yandex.ru/i/4Wjt6JlszdSSUg
46 кластер https://drive.google.com/file/d/15vRMwHMcsseX2CvksGGiAc0P6_KyYREZ/view
45 кластер https://disk.yandex.ru/i/AVuGEE5XZvAsZQ",
Мобильные буклеты:,,
Левобережье,-,
Smartpolet,-,
Сияние,-,
,-,
Движение61,-,
Эстет,"49 кластер https://drive.google.com/file/d/1qhicmvcPaSMmFTVB5zq5tVIW_y5cB15H/view
48 кластер https://drive.google.com/file/d/1_XENCwjwht6nEn7rnkRLAq8igUX5dDuO/view
47 кластер https://disk.yandex.ru/i/4Wjt6JlszdSSUg
46 кластер https://drive.google.com/file/d/15vRMwHMcsseX2CvksGGiAc0P6_KyYREZ/view
45 кластер https://disk.yandex.ru/i/AVuGEE5XZvAsZQ",
Генпланы А3:,,
Левобережье,https://disk.yandex.ru/i/zu12tWOFwyu_Mw,
Smartpolet,https://disk.yandex.ru/i/QtUeFN4M-NFk9A,
Сияние,https://disk.yandex.ru/i/LeRHb3jOl-g0lA,
Движение61,https://disk.yandex.ru/i/_pcwY_jbczAGlA,
Эстет,https://disk.yandex.ru/i/JakqmTe-vvAFCQ,
Новый Ростов,https://disk.yandex.ru/d/zdAAlZI8hQ1aLA,
ПДФ Рендеры А3:,,
Сияние,"24/1 литер https://disk.yandex.ru/i/9CEClF3YTK5c1g
15 кластер https://disk.yandex.ru/d/MQ8vm7xbc45YZw",
Движение61,"69 кластер https://disk.yandex.ru/i/ThTLrVRHqSO4pg
78 кластер",
Эстет,"49 кластер https://disk.yandex.ru/i/OV3vrwSps06bTw
48 кластер https://disk.yandex.ru/i/BAIfYyNIk9zFLA
47 кластер https://disk.yandex.ru/i/j8xsEwfPiTlUWw
46 кластер https://disk.yandex.ru/d/-Gp6J-LvWDiS2A
45 кластер https://disk.yandex.ru/i/QRqVqlW0-Nrw7Q",
Планировки:,,
